"SYMBOL","mean_delta_Control","mean_delta_IF","sd_delta_Control","sd_delta_IF","n_Control","n_IF","differential_change","se_difference","lower_95","upper_95"
"ABCC8",0.0993507699763371,-0.305004808762031,0.280790689614619,0.409689889962827,14,14,-0.404355578738368,0.132742827977368,-0.664531521574009,-0.144179635902727
"COQ9",0.0110734885766755,-0.0517658382906728,0.129710208844605,0.12649510728057,14,14,-0.0628393268673484,0.0484220658410679,-0.157746575915841,0.0320679221811446
"COX4I1",-0.0226030464156611,-0.124683188170857,0.20274257597537,0.194051348397404,14,14,-0.102080141755196,0.0750049893235584,-0.249089920829371,0.0449296373189783
"FOXA2",0.18708862388302,-0.105792992817986,0.334501122515693,0.245999778115424,14,14,-0.292881616701006,0.110971969368426,-0.510386676663121,-0.0753765567388916
"GCG",0.544628449476457,-0.309630758560035,0.989364734158154,0.498874164409131,14,14,-0.854259208036493,0.296131969749823,-1.43467786874615,-0.273840547326839
"PPARGC1A",0.233789195688038,-0.0170508914891646,0.414761515713229,0.4685274150957,14,14,-0.250840087177203,0.16723487623549,-0.578620444598762,0.076940270244357
