"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue"
"GO:0033344","cholesterol efflux",48,-0.519550157708711,-1.96288376084317,0.000133347069111043,0.00194225768070628,0.00141647685888716
"GO:0007218","neuropeptide signaling pathway",55,-0.495928464309444,-1.91345100051223,0.000249003562185487,0.00320015689179125,0.00233385519700054
"GO:0050796","regulation of insulin secretion",150,-0.406757285855876,-1.87539544800204,5.31502468191977e-06,0.000147893068861532,0.000107857526688213
"GO:0030072","peptide hormone secretion",213,-0.384569076205373,-1.85839552075314,1.49979315202615e-06,5.26623797845374e-05,3.84063572201184e-05
"GO:0046879","hormone secretion",264,-0.373452397597837,-1.85737357946505,4.10074502064685e-07,1.81881916366886e-05,1.32645388993935e-05
"GO:0030073","insulin secretion",180,-0.390874543772073,-1.84754785214709,6.02392597938816e-06,0.000163756402545672,0.000119426560648845
"GO:0071333","cellular response to glucose stimulus",119,-0.407419695979718,-1.80073039222748,0.000147564879875829,0.00210771241256057,0.00153714200089847
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",91,-0.418222090027928,-1.77638630363617,0.000375144555229505,0.0044259554625977,0.00322782273099576
"GO:0042593","glucose homeostasis",223,-0.351560928984481,-1.70427549473751,6.82854312306574e-05,0.0011174597058542,0.000814956650605562
"GO:0006119","oxidative phosphorylation",135,-0.350575675431188,-1.58926122799646,0.00147128459089835,0.012838916866434,0.00936334494394515
"GO:0019216","regulation of lipid metabolic process",290,-0.314937729558366,-1.57685458439964,0.000278743775723504,0.00350599047546471,0.00255689779235094
